,Survived,Pclass,Sex,Embarked,Title,AGE,FamilySize
242,0,3,1,2,Mrs,Adults,0
243,1,3,0,1,Miss,Adults,0
244,1,1,0,2,Miss,Adults,1
245,1,3,1,2,Mrs,Adults,0
246,0,3,1,2,Mrs,Adults,2
247,0,3,1,2,Mrs,teenager,7
248,1,3,1,2,Mrs,Adults,0
249,0,3,1,2,Mrs,Adults,0
250,0,3,1,2,Mrs,Adults,0
251,0,2,1,0,Mrs,Adults,2
252,0,3,1,2,Mrs,Adults,2
253,1,2,0,2,Miss,Adults,0
254,0,3,0,2,Miss,teenager,6
255,1,1,0,0,Mrs,Adults,1
256,0,3,1,2,Mrs,Adults,1
257,1,3,1,2,Master,child,2
258,1,3,0,1,Miss,Adults,0
259,0,3,1,2,Mrs,Adults,5
260,1,1,1,0,Mrs,Adults,0
261,0,3,1,2,Mrs,Adults,0
262,0,3,1,2,Mrs,Adults,0
263,0,1,1,0,Mrs,Adults,0
264,0,3,1,2,Mrs,Adults,0
265,1,1,0,2,Officer,Adults,0
266,0,2,1,2,Mrs,Adults,2
267,1,3,0,2,Mrs,Adults,6
268,1,2,0,2,Miss,child,1
269,0,3,1,0,Mrs,Adults,0
270,0,2,1,2,Mrs,Adults,0
271,1,2,0,2,Mrs,Adults,1
272,1,1,0,2,Miss,Adults,0
273,1,2,0,2,Mrs,Adults,1
274,0,3,1,0,Mrs,Adults,0
275,1,3,0,2,Miss,Adults,0
276,0,2,1,2,Mrs,Adults,2
277,1,3,0,1,Miss,Adults,0
278,1,1,0,0,Miss,Adults,2
279,1,2,0,2,Mrs,Adults,0
280,1,2,0,2,Mrs,Adults,2
281,1,2,0,2,Mrs,Adults,0
282,0,3,1,2,Mrs,Adults,0
283,0,2,1,2,Mrs,Adults,0
284,1,1,0,1,Miss,Adults,1
285,0,3,1,2,Mrs,teenager,2
286,1,3,1,1,Mrs,Adults,0
287,0,2,1,2,Mrs,Adults,0
288,0,3,1,2,Mrs,Adults,0
289,1,3,0,2,Miss,Adults,0
290,0,3,1,2,Mrs,Adults,2
291,0,3,1,2,Mrs,Adults,0
292,0,3,1,2,Mrs,Adults,0
293,0,1,1,2,Mrs,Adults,1
294,0,3,1,2,Mrs,Adults,0
295,1,3,0,1,Miss,Adults,1
296,1,3,0,2,Miss,Adults,0
297,1,2,0,2,Mrs,Adults,1
298,1,1,0,0,Mrs,Adults,1
299,1,1,1,2,Master,child,2
300,0,3,1,2,Mrs,Adults,0
301,0,3,1,2,Mrs,Adults,0
302,0,3,1,2,Mrs,teenager,2
303,0,3,1,2,Mrs,Adults,0
304,1,2,0,2,Mrs,Adults,0
305,0,2,1,2,Mrs,Adults,0
306,0,3,1,1,Mrs,Adults,0
307,0,3,1,2,Mrs,Adults,0
308,1,3,1,0,Mrs,Adults,0
309,0,3,1,0,Mrs,Adults,0
310,0,1,1,0,Mrs,Adults,0
311,1,3,0,1,Miss,Adults,0
312,0,3,1,2,Mrs,Adults,1
313,0,3,0,2,Miss,teenager,0
314,0,3,1,2,Mrs,teenager,0
315,0,3,1,2,Mrs,Adults,0
316,0,3,1,2,Mrs,Adults,0
317,0,2,1,2,Mrs,teenager,0
318,0,3,1,2,Mrs,Adults,0
319,1,2,0,2,Miss,Adults,0
320,1,3,0,2,Mrs,Adults,2
321,0,3,1,2,Mrs,old,0
322,0,3,1,2,Mrs,Adults,0
323,1,3,0,2,Miss,Adults,0
324,1,3,1,2,Mrs,Adults,0
325,1,2,0,2,Mrs,Adults,5
326,1,1,0,0,Mrs,Adults,1
327,0,3,1,2,Mrs,Adults,0
328,0,2,1,2,Mrs,Adults,0
329,0,2,1,2,Mrs,teenager,0
330,1,3,1,2,Mrs,Adults,0
331,0,2,1,2,Mrs,Adults,0
332,0,3,0,2,Miss,Adults,4
333,0,3,1,2,Mrs,Adults,10
334,0,3,1,2,Mrs,Adults,0
335,0,3,1,2,Mrs,Adults,0
336,1,1,0,2,Mrs,Adults,1
337,0,3,1,2,Mrs,Adults,0
338,0,3,1,2,Mrs,Adults,0
339,0,3,0,2,Miss,Adults,1
340,0,3,0,2,Miss,child,6
341,0,3,1,2,Mrs,Adults,2
342,0,3,0,1,Mrs,Adults,5
343,0,3,1,0,Mrs,Adults,0
344,0,3,1,2,Mrs,Adults,0
345,0,3,0,2,Miss,Adults,1
346,1,1,1,2,Mrs,Adults,0
347,0,2,1,2,Mrs,teenager,0
348,0,2,1,0,Mrs,Adults,0
349,0,1,1,2,Mrs,Adults,1
350,0,3,0,0,Miss,teenager,1
351,0,3,1,2,Mrs,Adults,0
352,1,3,0,0,Miss,teenager,1
353,1,1,0,2,Miss,teenager,0
354,0,3,1,0,Mrs,Adults,0
355,0,2,0,2,Mrs,Adults,1
356,0,3,1,1,Mrs,Adults,1
357,0,3,1,2,Mrs,Adults,0
358,1,2,0,2,Miss,Adults,3
359,0,3,1,2,Mrs,teenager,0
360,1,2,1,2,Master,child,2
361,1,1,0,2,Mrs,Adults,1
362,0,3,1,0,Mrs,Adults,0
363,1,1,0,0,Miss,Adults,0
364,0,3,1,1,Mrs,Adults,0
365,0,3,1,2,Mrs,Adults,0
366,0,3,0,0,Miss,Adults,1
367,1,1,0,2,Mrs,Adults,1
368,1,2,0,2,Miss,Adults,2
369,0,3,1,2,Mrs,Adults,0
370,0,1,0,2,Miss,child,3
371,0,3,0,2,Miss,Adults,4
372,1,1,1,0,Mrs,Adults,0
373,1,2,0,2,Miss,teenager,0
374,0,3,0,2,Miss,teenager,2
375,0,3,1,2,Mrs,Adults,0
376,1,2,0,2,Miss,child,3
377,0,1,1,0,Mrs,Adults,1
378,1,3,0,1,Miss,Adults,1
379,1,3,1,0,Mrs,Adults,2
380,0,3,1,2,Mrs,Adults,0
381,0,3,1,2,Mrs,Adults,10
382,0,3,0,1,Miss,Adults,0
383,0,1,1,2,Mrs,old,0
384,1,3,1,2,Master,child,3
385,0,1,1,0,Mrs,Adults,1
386,1,2,0,2,Miss,Adults,0
387,1,3,0,0,Miss,teenager,0
388,0,2,1,2,Mrs,Adults,0
389,0,2,1,2,Mrs,Adults,0
390,0,3,1,2,Mrs,Adults,0
391,0,3,1,1,Mrs,Adults,0
392,0,2,1,2,Mrs,Adults,1
393,1,2,0,2,Mrs,Adults,2
394,0,3,1,2,Mrs,Adults,0
395,1,3,1,2,Mrs,Adults,0
396,1,1,0,2,Mrs,old,0
397,0,1,1,2,Mrs,Adults,0
398,1,1,0,0,Royalty,Adults,1
399,1,1,0,2,Miss,Adults,0
400,1,1,0,2,Mrs,teenager,1
401,0,3,1,2,Mrs,Adults,0
402,0,2,1,2,Mrs,Adults,0
403,0,1,1,0,Mrs,Adults,0
404,0,2,1,2,Mrs,Adults,2
405,0,3,1,2,Mrs,Adults,0
406,0,3,1,1,Mrs,Adults,0
407,0,3,1,2,Mrs,Adults,0
408,1,1,1,2,Mrs,Adults,1
409,0,3,0,0,Miss,teenager,2
410,0,3,1,2,Master,child,5
411,1,2,0,2,Mrs,Adults,1
412,1,1,0,2,Mrs,Adults,2
413,1,2,1,2,Master,teenager,2
414,1,2,0,2,Mrs,Adults,1
415,1,1,0,2,Miss,Adults,0
416,0,2,0,2,Mrs,old,0
417,1,1,1,2,Mrs,Adults,3
418,0,3,1,2,Mrs,Adults,0
419,0,2,1,2,Mrs,Adults,0
420,0,1,1,0,Mrs,teenager,1
421,1,2,0,2,Mrs,Adults,0
422,0,2,1,2,Officer,Adults,0
423,0,1,1,0,Officer,Adults,0
424,1,2,0,2,Mrs,Adults,2
425,0,3,1,2,Mrs,Adults,1
426,1,2,1,2,Master,child,2
427,0,3,1,1,Mrs,Adults,1
428,1,2,0,1,Miss,Adults,0
429,0,3,1,0,Mrs,Adults,0
430,0,3,1,2,Master,teenager,5
431,1,1,0,2,Mrs,Adults,1
432,1,3,1,2,Mrs,Adults,0
433,0,3,1,2,Mrs,Adults,0
434,0,2,1,2,Mrs,Adults,0
435,0,3,1,2,Mrs,Adults,0
436,0,3,1,2,Mrs,teenager,5
437,0,3,0,2,Mrs,Adults,6
438,0,2,1,2,Mrs,Adults,0
439,1,3,0,1,Miss,Adults,0
440,0,1,1,2,Mrs,Adults,1
441,1,1,0,0,Mrs,Adults,2
442,0,3,1,2,Mrs,Adults,0
443,1,2,1,2,Mrs,Adults,0
444,0,3,1,2,Mrs,Adults,0
445,1,1,0,0,Miss,Adults,0
446,1,1,0,2,Miss,Adults,0
447,0,1,1,2,Mrs,Adults,1
448,1,3,1,0,Mrs,Adults,0
449,0,3,1,2,Mrs,Adults,1
450,1,3,1,2,Mrs,Adults,0
451,1,3,1,0,Master,Adults,2
452,0,3,1,2,Mrs,Adults,0
453,0,3,1,1,Mrs,Adults,0
454,1,3,0,1,Miss,teenager,0
455,0,3,1,0,Mrs,Adults,0
456,1,3,0,0,Mrs,Adults,2
457,0,1,1,2,Mrs,Adults,0
458,0,3,1,2,Mrs,Adults,0
459,1,1,0,2,Mrs,old,1
460,0,3,1,2,Mrs,Adults,0
461,0,3,1,2,Mrs,Adults,0
462,0,3,1,0,Mrs,Adults,0
463,0,3,1,2,Mrs,Adults,0
464,0,1,1,2,Mrs,Adults,1
465,1,1,1,2,Mrs,Adults,1
466,1,3,0,1,Miss,teenager,0
467,1,2,1,2,Mrs,Adults,0
468,0,3,0,2,Miss,teenager,6
469,1,1,0,2,Miss,teenager,2
470,1,3,1,0,Master,Adults,2
471,0,3,1,2,Mrs,Adults,0
472,1,1,0,0,Mrs,Adults,1
473,1,1,0,2,Mrs,Adults,3
474,0,1,1,0,Mrs,old,1
475,1,3,0,0,Miss,Adults,2
476,0,3,1,0,Mrs,teenager,2
477,0,2,1,0,Mrs,Adults,1
478,1,3,0,2,Miss,teenager,0
479,0,3,1,2,Mrs,Adults,0
480,1,3,0,2,Mrs,Adults,1
481,1,1,1,0,Mrs,Adults,1
482,1,3,0,0,Miss,child,3
483,1,1,0,0,Miss,Adults,4
484,1,1,0,2,Mrs,Adults,1
485,0,3,1,2,Mrs,Adults,0
486,1,3,0,0,Miss,child,3
487,0,1,1,2,Mrs,old,0
488,1,2,0,2,Mrs,Adults,0
489,1,1,0,0,Miss,Adults,1
490,0,3,1,2,Mrs,Adults,0
491,0,3,0,2,Miss,Adults,10
492,1,1,0,2,Miss,Adults,0
493,1,1,0,2,Miss,old,1
494,0,3,1,2,Mrs,Adults,0
495,1,1,0,2,Mrs,Adults,1
496,0,1,1,2,Mrs,old,5
497,1,3,0,1,Miss,Adults,0
498,1,3,0,1,Miss,Adults,1
499,1,1,1,2,Mrs,Adults,0
500,1,1,0,2,Miss,Adults,0
501,1,2,0,2,Mrs,Adults,1
502,0,2,1,0,Mrs,Adults,1
503,0,3,1,2,Mrs,Adults,1
504,0,3,1,2,Mrs,Adults,3
505,1,3,1,2,Mrs,Adults,0
506,1,3,0,2,Mrs,Adults,2
507,0,3,1,2,Mrs,Adults,0
508,1,3,0,2,Miss,teenager,6
509,0,3,1,2,Mrs,Adults,0
510,1,3,1,2,Master,child,6
511,0,3,1,0,Mrs,Adults,0
512,0,2,1,2,Mrs,Adults,0
513,1,3,0,2,Mrs,old,0
514,0,3,1,2,Mrs,teenager,2
515,0,3,1,2,Mrs,Adults,0
516,0,2,1,2,Mrs,Adults,0
517,0,3,1,2,Master,teenager,7
518,1,2,0,0,Miss,Adults,1
519,0,3,0,2,Mrs,Adults,1
520,0,3,1,2,Mrs,Adults,0
521,0,1,1,2,Royalty,Adults,0
522,0,3,1,2,Mrs,Adults,0
523,0,1,1,2,Mrs,old,0
524,0,3,1,2,Mrs,Adults,0
525,1,3,0,2,Miss,child,1
526,0,1,1,2,Mrs,Adults,0
527,0,3,1,0,Mrs,Adults,0
528,0,1,1,2,Mrs,Adults,0
529,0,3,1,2,Mrs,Adults,1
530,0,1,1,2,Mrs,Adults,0
531,0,3,1,2,Mrs,Adults,0
532,0,3,1,2,Mrs,Adults,0
533,0,3,0,2,Miss,teenager,0
534,0,3,1,2,Mrs,Adults,1
535,1,1,0,2,Mrs,Adults,1
536,1,1,1,2,Mrs,old,0
537,1,1,0,0,Miss,teenager,4
538,0,3,1,2,Master,child,7
539,1,2,0,2,Mrs,Adults,2
540,0,3,1,2,Mrs,Adults,0
541,0,3,1,1,Mrs,Adults,0
542,0,3,1,2,Mrs,Adults,0
543,0,1,1,0,Mrs,Adults,0
544,1,3,1,2,Mrs,Adults,0
545,0,3,1,2,Mrs,teenager,0
546,0,3,0,1,Mrs,Adults,2
547,0,2,1,2,Mrs,Adults,0
548,0,3,1,2,Mrs,Adults,0
549,0,3,1,2,Master,Adults,10
550,0,3,1,2,Mrs,teenager,0
551,0,2,1,2,Mrs,Adults,2
552,0,2,1,2,Mrs,Adults,0
553,0,1,1,2,Mrs,Adults,1
554,0,3,1,2,Mrs,Adults,1
555,1,1,0,2,Miss,Adults,0
556,0,3,1,2,Mrs,Adults,0
557,1,1,0,0,Miss,Adults,0
558,1,1,0,0,Mrs,Adults,1
559,0,3,1,2,Mrs,Adults,0
560,0,2,1,0,Mrs,Adults,0
561,0,3,1,1,Mrs,Adults,0
562,1,1,0,0,Mrs,teenager,1
563,1,1,1,0,Mrs,Adults,1
564,0,3,1,2,Master,child,5
565,0,3,1,2,Mrs,Adults,0
566,0,1,1,2,Mrs,Adults,5
567,0,2,1,2,Mrs,Adults,0
568,0,1,1,2,Mrs,Adults,0
569,0,2,1,2,Mrs,old,0
570,1,3,0,1,Miss,teenager,0
571,1,3,1,2,Mrs,teenager,0
572,0,3,1,2,Mrs,Adults,0
573,0,1,1,2,Mrs,old,0
574,0,3,1,1,Mrs,Adults,0
575,1,1,0,2,Miss,Adults,5
576,0,3,0,2,Miss,Adults,4
577,1,2,0,2,Miss,teenager,2
578,0,3,0,1,Miss,Adults,0
579,0,3,1,0,Mrs,Adults,2
580,0,1,1,0,Mrs,old,0
581,0,1,1,0,Mrs,old,0
582,1,1,0,0,Mrs,Adults,0
583,1,2,1,2,Master,child,2
584,0,3,1,0,Mrs,Adults,0
585,1,2,1,2,Master,child,2
586,0,3,1,1,Mrs,Adults,0
587,0,3,1,2,Mrs,Adults,0
588,0,1,1,0,Mrs,old,0
589,0,3,1,2,Mrs,teenager,0
590,0,3,1,1,Mrs,Adults,1
591,0,3,1,2,Mrs,Adults,3
592,0,3,1,1,Mrs,Adults,0
593,1,3,0,2,Miss,child,2
594,1,1,0,2,Mrs,Adults,2
595,1,3,1,0,Mrs,Adults,0
596,0,3,1,2,Master,Adults,4
597,1,1,1,2,Mrs,Adults,0
598,0,1,1,2,Mrs,Adults,1
599,1,3,0,0,Mrs,Adults,2
600,0,3,1,2,Mrs,Adults,0
601,1,1,1,0,Mrs,Adults,1
602,0,1,1,0,Mrs,Adults,1
603,1,1,0,0,Miss,Adults,0
604,1,1,0,2,Miss,Adults,2
605,0,3,1,2,Mrs,Adults,0
606,0,3,0,2,Miss,Adults,4
607,1,3,0,0,Mrs,teenager,1
608,1,3,1,2,Mrs,Adults,0
609,0,3,1,2,Mrs,Adults,0
610,0,3,1,2,Mrs,Adults,1
611,0,3,1,2,Mrs,Adults,0
612,0,1,1,2,Mrs,Adults,0
613,1,1,0,0,Mrs,teenager,1
614,1,2,0,2,Miss,teenager,1
615,0,3,1,2,Mrs,Adults,0
616,1,1,0,0,Miss,Adults,0
617,0,3,1,2,Mrs,Adults,0
618,0,3,1,2,Mrs,teenager,0
619,0,3,1,1,Master,child,5
620,1,1,0,0,Mrs,Adults,2
621,0,3,1,1,Master,teenager,5
622,0,2,1,2,Mrs,Adults,0
623,0,1,1,2,Mrs,Adults,0
624,1,1,1,2,Mrs,Adults,0
625,0,3,1,2,Mrs,Adults,2
626,0,3,1,0,Mrs,Adults,0
627,0,3,1,2,Mrs,Adults,0
628,1,3,1,2,Mrs,Adults,0
629,1,3,0,2,Mrs,Adults,1
630,1,3,1,2,Mrs,Adults,0
631,1,1,1,0,Mrs,Adults,0
632,0,3,1,2,Mrs,Adults,0
633,0,1,1,0,Mrs,Adults,1
634,1,3,1,2,Master,teenager,2
635,1,1,0,2,Mrs,Adults,1
636,0,3,1,2,Mrs,Adults,0
637,1,3,0,0,Miss,child,3
638,0,3,1,1,Mrs,Adults,0
639,0,3,1,2,Mrs,teenager,2
640,1,2,0,2,Miss,Adults,0
641,0,3,0,1,Miss,teenager,0
642,0,3,1,2,Mrs,Adults,0
643,1,3,1,2,Mrs,Adults,0
644,0,3,1,2,Mrs,teenager,1
645,0,2,1,2,Mrs,Adults,0
646,0,3,1,2,Mrs,Adults,0
647,0,3,1,2,Mrs,Adults,0
648,0,2,1,2,Mrs,Adults,0
649,0,2,1,2,Mrs,Adults,2
650,0,2,1,2,Mrs,Adults,3
651,0,3,1,2,Mrs,Adults,0
652,1,3,0,1,Miss,Adults,2
653,0,3,1,2,Mrs,Adults,1
654,0,3,1,2,Mrs,Adults,0
655,0,3,1,2,Mrs,Adults,0
656,1,1,0,0,Miss,Adults,1
657,1,1,1,0,Mrs,teenager,2
658,0,2,1,2,Mrs,Adults,0
659,1,1,1,0,Royalty,Adults,1
660,1,1,1,2,Mrs,Adults,0
661,1,1,1,2,Mrs,Adults,1
662,0,3,0,1,Miss,Adults,0
663,0,3,0,2,Miss,Adults,0
664,0,2,1,2,Mrs,old,2
665,0,3,0,2,Miss,Adults,1
666,0,3,0,2,Mrs,Adults,1
667,0,3,1,2,Mrs,Adults,0
668,0,3,0,2,Mrs,Adults,2
669,1,3,0,2,Miss,Adults,0
670,0,3,1,2,Mrs,teenager,1
671,0,2,1,2,Mrs,teenager,0
672,0,3,0,2,Miss,Adults,10
673,0,3,1,0,Mrs,teenager,0
674,1,3,0,2,Mrs,Adults,1
675,0,3,1,2,Mrs,Adults,0
676,0,1,1,2,Mrs,Adults,0
677,1,3,0,1,Miss,Adults,0
678,1,3,0,2,Miss,Adults,0
